                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.78705,                0.83761,                 2.0181,                0.83953,                0.77419,                0.87614,                0.76266,                 1.1234,                 1.0202,                 2.2985,               0.001406,               0.001406,               0.001406
                    152,                0.75981,                0.80833,                 2.0157,                0.86046,                0.78065,                0.87655,                 0.7718,                 1.1541,                0.91889,                 2.3622,               0.001402,               0.001402,               0.001402
                    153,                0.81728,                0.87467,                 2.0699,                0.89312,                 0.8129,                0.91178,                0.79355,                 1.1425,                0.88312,                 2.4287,              0.0013981,              0.0013981,              0.0013981
                    154,                0.81249,                0.84127,                 2.0324,                0.92549,                0.80141,                0.92036,                0.80205,                 1.2049,                0.86501,                 2.4878,              0.0013941,              0.0013941,              0.0013941
                    155,                0.80087,                0.81777,                 2.0399,                0.92928,                0.76296,                0.90392,                0.79591,                 1.1357,                  0.853,                  2.338,              0.0013902,              0.0013902,              0.0013902
                    156,                0.77776,                0.82988,                 2.0376,                0.90471,                0.76774,                0.90655,                0.79172,                 1.1287,                0.91766,                 2.3612,              0.0013862,              0.0013862,              0.0013862
                    157,                0.80106,                0.89297,                 2.0553,                0.91008,                0.75484,                 0.8665,                0.75449,                  1.197,                 1.0516,                  2.437,              0.0013822,              0.0013822,              0.0013822
                    158,                0.80265,                0.84279,                 2.0274,                  0.888,                 0.8129,                0.89071,                0.76785,                 1.1515,                0.93796,                 2.3578,              0.0013783,              0.0013783,              0.0013783
                    159,                0.81881,                0.83907,                 2.0561,                0.81849,                0.84368,                0.89356,                0.77109,                  1.238,                 1.0044,                 2.5198,              0.0013743,              0.0013743,              0.0013743
                    160,                0.79539,                0.81464,                 2.0499,                0.85922,                0.85806,                0.91985,                0.80199,                 1.1572,                 0.8645,                 2.4229,              0.0013704,              0.0013704,              0.0013704
                    161,                 0.7845,                0.82534,                 2.0364,                0.86294,                    0.8,                0.89852,                0.77935,                 1.1864,                0.98794,                 2.4271,              0.0013664,              0.0013664,              0.0013664
                    162,                0.73639,                 0.7909,                 1.9945,                0.82888,                0.83226,                0.88173,                0.75904,                 1.0931,                0.94971,                  2.343,              0.0013624,              0.0013624,              0.0013624
                    163,                0.80632,                0.84407,                 2.0424,                0.84939,                0.83871,                0.90332,                0.79337,                 1.0962,                 0.8767,                  2.336,              0.0013585,              0.0013585,              0.0013585
                    164,                0.75392,                0.79141,                 2.0002,                0.90948,                0.80645,                0.89457,                0.78199,                 1.1565,                0.96245,                 2.4027,              0.0013545,              0.0013545,              0.0013545
                    165,                0.75743,                0.80273,                 2.0061,                0.83226,                0.83871,                 0.8884,                0.77563,                 1.0815,                0.93164,                 2.3322,              0.0013506,              0.0013506,              0.0013506
                    166,                0.78086,                0.86263,                 2.0383,                0.84807,                0.86429,                 0.9096,                0.78758,                 1.1974,                0.92339,                 2.4597,              0.0013466,              0.0013466,              0.0013466
                    167,                0.77088,                0.85719,                 2.0273,                0.95324,                0.78912,                0.91866,                0.79676,                 1.2136,                0.91054,                 2.4541,              0.0013426,              0.0013426,              0.0013426
                    168,                0.76428,                0.82801,                 2.0086,                0.83703,                0.82581,                0.89959,                 0.7771,                 1.2497,                0.97362,                 2.5286,              0.0013387,              0.0013387,              0.0013387
                    169,                0.75289,                0.80227,                 1.9937,                0.91379,                0.82064,                0.91169,                0.78985,                 1.2595,                0.89976,                 2.5264,              0.0013347,              0.0013347,              0.0013347
                    170,                0.75788,                0.80287,                 2.0058,                0.84026,                 0.8484,                0.90041,                0.78886,                  1.175,                0.91723,                 2.4013,              0.0013308,              0.0013308,              0.0013308
                    171,                0.77652,                0.82929,                 2.0128,                0.90724,                0.75717,                0.88366,                0.79649,                 1.1718,                0.96919,                 2.4673,              0.0013268,              0.0013268,              0.0013268
                    172,                0.74702,                0.80629,                 2.0088,                0.84222,                 0.8265,                0.90566,                0.79762,                 1.1604,                0.87817,                 2.4306,              0.0013228,              0.0013228,              0.0013228
                    173,                0.77109,                0.80319,                 2.0014,                0.85619,                0.79355,                0.88788,                 0.7765,                 1.0625,                0.91866,                 2.3329,              0.0013189,              0.0013189,              0.0013189
                    174,                0.76557,                0.78609,                 1.9711,                0.88883,                0.82581,                0.92481,                0.79982,                 1.1734,                0.83088,                 2.4335,              0.0013149,              0.0013149,              0.0013149
                    175,                0.72437,                0.76961,                 1.9856,                0.87775,                0.80645,                0.90058,                0.78183,                 1.2439,                0.91262,                 2.5544,               0.001311,               0.001311,               0.001311
                    176,                0.71531,                0.79165,                 1.9736,                0.86354,                0.81935,                0.88607,                0.77714,                 1.2446,                 0.9942,                 2.5714,               0.001307,               0.001307,               0.001307
                    177,                0.71715,                0.79742,                  1.973,                0.88067,                0.80947,                0.90465,                0.78034,                 1.1192,                0.85597,                 2.3934,               0.001303,               0.001303,               0.001303
                    178,                0.72108,                0.79113,                 1.9768,                0.85402,                0.83035,                0.91607,                0.81073,                 1.0914,                0.86397,                 2.4233,              0.0012991,              0.0012991,              0.0012991
                    179,                 0.6963,                0.74604,                 1.9589,                0.85438,                0.83279,                0.90819,                0.78929,                 1.1737,                0.90497,                 2.4437,              0.0012951,              0.0012951,              0.0012951
                    180,                0.73447,                0.73063,                  1.983,                0.83426,                0.81935,                0.88916,                0.78271,                 1.0723,                0.91169,                  2.332,              0.0012912,              0.0012912,              0.0012912
                    181,                0.76399,                0.77121,                 2.0065,                0.93541,                0.74194,                0.89799,                 0.7898,                 1.1943,                 0.9426,                 2.4377,              0.0012872,              0.0012872,              0.0012872
                    182,                0.72592,                0.72434,                 1.9797,                0.85074,                0.87097,                0.91678,                0.80161,                  1.182,                0.91589,                 2.4644,              0.0012832,              0.0012832,              0.0012832
                    183,                0.75112,                0.81523,                 1.9844,                0.86614,                 0.8129,                0.91752,                0.78185,                 1.1303,                0.83519,                 2.3845,              0.0012793,              0.0012793,              0.0012793
                    184,                0.77855,                0.75338,                 2.0199,                0.82068,                0.85627,                0.90976,                0.79502,                  1.188,                0.85664,                 2.3883,              0.0012753,              0.0012753,              0.0012753
                    185,                0.72033,                0.76671,                 1.9755,                0.82732,                0.90323,                 0.9309,                0.82161,                 1.1199,                0.77533,                  2.343,              0.0012714,              0.0012714,              0.0012714
                    186,                0.71119,                 0.7476,                  1.962,                0.86018,                0.87318,                0.93531,                0.82314,                 1.0897,                0.77902,                 2.3429,              0.0012674,              0.0012674,              0.0012674
                    187,                0.79996,                0.84763,                 2.0206,                0.85185,                0.85324,                0.90607,                0.78412,                  1.219,                0.88167,                 2.4327,              0.0012634,              0.0012634,              0.0012634
                    188,                0.76217,                0.76843,                 2.0069,                0.87615,                0.81935,                0.90848,                0.79461,                 1.1834,                0.90285,                 2.4338,              0.0012595,              0.0012595,              0.0012595
                    189,                0.75572,                  0.759,                 1.9867,                0.86935,                 0.8157,                0.89949,                0.80145,                 1.0174,                0.87504,                 2.2773,              0.0012555,              0.0012555,              0.0012555
                    190,                0.71446,                0.73196,                 1.9644,                0.88093,                0.79355,                0.90619,                0.79254,                 1.0999,                0.84651,                 2.3856,              0.0012516,              0.0012516,              0.0012516
                    191,                0.70627,                0.81487,                 1.9522,                0.95108,                0.74194,                0.89698,                0.78659,                 1.0244,                0.88542,                  2.278,              0.0012476,              0.0012476,              0.0012476
                    192,                0.71309,                0.77076,                 1.9808,                0.91325,                0.81935,                0.91482,                0.81944,                 1.0755,                0.83457,                 2.3161,              0.0012436,              0.0012436,              0.0012436
                    193,                0.71811,                0.73627,                 1.9796,                0.89098,                0.84364,                0.92356,                0.80228,                 1.1354,                0.95891,                 2.4352,              0.0012397,              0.0012397,              0.0012397
                    194,                0.69965,                0.76171,                 1.9806,                0.93745,                0.72258,                 0.8851,                0.78883,                 1.0367,                 1.0405,                 2.2676,              0.0012357,              0.0012357,              0.0012357
                    195,                0.75018,                0.82302,                 2.0175,                0.90962,                0.77923,                0.88527,                  0.787,                 1.2415,                0.94664,                 2.4676,              0.0012318,              0.0012318,              0.0012318
                    196,                0.72716,                0.76342,                 1.9653,                0.87919,                0.88387,                0.92964,                0.81214,                 1.1945,                0.86887,                 2.4337,              0.0012278,              0.0012278,              0.0012278
                    197,                0.71631,                0.76733,                 1.9446,                 0.9203,                0.81942,                0.90845,                0.79917,                  1.142,                0.93509,                 2.4466,              0.0012238,              0.0012238,              0.0012238
                    198,                0.69838,                0.73615,                 1.9399,                0.93391,                0.82057,                0.91928,                0.81244,                 1.1804,                0.90221,                 2.4833,              0.0012199,              0.0012199,              0.0012199
                    199,                0.72615,                0.72797,                 1.9683,                0.94328,                0.79355,                0.91681,                0.81742,                 1.1518,                0.80292,                 2.4234,              0.0012159,              0.0012159,              0.0012159
                    200,                0.71435,                0.75776,                 1.9685,                0.87543,                0.86143,                0.91803,                0.80461,                 1.1798,                 0.8299,                 2.4777,               0.001212,               0.001212,               0.001212
                    201,                0.74686,                0.75058,                 1.9867,                0.92451,                0.79008,                0.90326,                0.80667,                 1.0252,                0.96408,                 2.2724,               0.001208,               0.001208,               0.001208
                    202,                0.70036,                0.72387,                  1.975,                 0.9249,                 0.7871,                0.89848,                0.80451,                 1.0539,                0.90363,                 2.3048,               0.001204,               0.001204,               0.001204
                    203,                0.70028,                0.78402,                 1.9847,                0.89112,                0.82581,                0.92186,                0.80887,                 1.0143,                0.79943,                 2.2943,              0.0012001,              0.0012001,              0.0012001
                    204,                0.73501,                0.77615,                 1.9841,                0.94897,                0.83226,                0.93915,                 0.8157,                 1.1543,                0.87199,                  2.416,              0.0011961,              0.0011961,              0.0011961
                    205,                0.75104,                0.79106,                 1.9876,                0.87088,                0.82676,                0.90664,                0.78385,                 1.0956,                0.84494,                  2.334,              0.0011922,              0.0011922,              0.0011922
                    206,                0.75763,                0.77054,                 1.9841,                0.81281,                0.86844,                0.91266,                0.79277,                    1.2,                0.87261,                 2.4888,              0.0011882,              0.0011882,              0.0011882
                    207,                0.69842,                0.71131,                 1.9556,                 0.8304,                0.81935,                0.90922,                0.78236,                 1.0368,                0.92572,                 2.2735,              0.0011842,              0.0011842,              0.0011842
                    208,                0.74299,                0.75241,                  1.969,                0.93218,                0.82581,                0.91676,                0.79936,                  1.162,                0.84918,                  2.487,              0.0011803,              0.0011803,              0.0011803
                    209,                 0.7019,                0.73026,                 1.9562,                0.83385,                0.85806,                0.91511,                0.79787,                 1.1497,                 0.8518,                 2.4379,              0.0011763,              0.0011763,              0.0011763
                    210,                0.67707,                0.72278,                 1.9362,                0.91872,                0.80219,                  0.923,                 0.7983,                 1.0652,                0.74608,                 2.3405,              0.0011724,              0.0011724,              0.0011724
                    211,                0.70955,                0.73368,                 1.9649,                0.87601,                0.85161,                0.91418,                0.81089,                0.99587,                0.83654,                 2.2504,              0.0011684,              0.0011684,              0.0011684
                    212,                0.74713,                0.77681,                 1.9713,                0.85023,                0.83871,                0.91268,                0.80035,                 1.0545,                0.89889,                 2.2964,              0.0011644,              0.0011644,              0.0011644
                    213,                0.69863,                0.74729,                 1.9739,                0.91365,                0.81915,                0.92211,                 0.8007,                 1.2127,                0.84754,                 2.4847,              0.0011605,              0.0011605,              0.0011605
                    214,                0.72535,                0.72828,                 1.9592,                0.88186,                0.81871,                0.91287,                0.79666,                 1.1052,                0.83518,                 2.3803,              0.0011565,              0.0011565,              0.0011565
                    215,                0.70811,                0.74933,                 1.9678,                0.89519,                0.82658,                0.90153,                0.79144,                 1.1251,                0.90089,                 2.3537,              0.0011526,              0.0011526,              0.0011526
                    216,                0.69336,                0.69079,                 1.9468,                0.92376,                 0.8129,                0.91095,                0.80413,                 1.0308,                0.90778,                 2.2595,              0.0011486,              0.0011486,              0.0011486
                    217,                0.68096,                0.72696,                 1.9498,                0.92031,                0.74511,                0.89662,                0.80627,                 1.0332,                 0.9184,                 2.3118,              0.0011446,              0.0011446,              0.0011446
                    218,                0.66763,                0.74314,                 1.9438,                0.92698,                0.83226,                0.92254,                0.82399,                 1.0392,                0.72435,                 2.3105,              0.0011407,              0.0011407,              0.0011407
                    219,                0.70108,                0.72198,                 1.9613,                0.88996,                0.83486,                0.92136,                0.81709,                0.98476,                0.79084,                 2.2292,              0.0011367,              0.0011367,              0.0011367
                    220,                0.71111,                0.70931,                 1.9578,                0.91095,                0.79202,                0.90943,                0.81852,                 1.1463,                0.84662,                  2.477,              0.0011328,              0.0011328,              0.0011328
                    221,                0.68405,                0.73926,                 1.9405,                 0.9795,                0.81935,                0.92383,                0.81449,                 1.0267,                 0.8012,                 2.3422,              0.0011288,              0.0011288,              0.0011288
                    222,                0.65956,                0.67797,                 1.9137,                 0.9251,                0.80645,                0.89306,                0.79043,                0.98163,                0.85512,                 2.2981,              0.0011248,              0.0011248,              0.0011248
                    223,                0.67254,                 0.7021,                 1.9355,                0.85802,                0.81876,                0.90239,                0.80061,                  1.026,                0.86526,                 2.3548,              0.0011209,              0.0011209,              0.0011209
                    224,                 0.6515,                0.68191,                 1.9102,                0.84884,                0.85161,                0.91035,                0.80009,                 1.1208,                0.81189,                 2.4545,              0.0011169,              0.0011169,              0.0011169
                    225,                0.70028,                0.70833,                 1.9417,                0.88236,                0.83226,                0.91316,                 0.8024,                   1.07,                0.86416,                 2.4112,               0.001113,               0.001113,               0.001113
                    226,                0.64686,                0.71944,                  1.949,                0.89848,                0.79942,                0.89908,                 0.8024,                 0.8935,                0.85507,                 2.2026,               0.001109,               0.001109,               0.001109
                    227,                0.73474,                0.74431,                 1.9624,                0.87651,                0.85161,                0.91951,                0.80843,                 1.0118,                0.75337,                 2.2873,               0.001105,               0.001105,               0.001105
                    228,                0.71191,                0.75639,                 1.9622,                0.88747,                0.86499,                0.92067,                0.81526,                 1.1964,                0.87517,                 2.5692,              0.0011011,              0.0011011,              0.0011011
                    229,                0.69663,                0.71491,                  1.954,                0.93828,                0.81935,                0.90631,                0.81359,                 1.0637,                0.88602,                 2.3804,              0.0010971,              0.0010971,              0.0010971
                    230,                0.67365,                0.68052,                 1.9561,                0.88269,                    0.8,                0.89965,                0.80204,                0.97348,                0.79256,                 2.2511,              0.0010932,              0.0010932,              0.0010932
                    231,                0.58886,                0.64005,                 1.8824,                0.88695,                0.83871,                  0.906,                0.79508,                 1.1661,                0.90738,                 2.4977,              0.0010892,              0.0010892,              0.0010892
                    232,                0.67454,                0.73896,                 1.9385,                0.88863,                0.82581,                0.91498,                0.79608,                 1.1753,                 1.0789,                 2.4822,              0.0010852,              0.0010852,              0.0010852
                    233,                 0.6919,                0.74374,                  1.944,                0.81224,                0.89308,                0.91838,                0.79981,                 1.1259,                 0.9399,                 2.4314,              0.0010813,              0.0010813,              0.0010813
                    234,                0.61419,                0.63045,                 1.9411,                0.83309,                0.83726,                0.89792,                0.79788,                 1.1033,                0.92206,                 2.3423,              0.0010773,              0.0010773,              0.0010773
                    235,                0.63647,                0.67517,                 1.9067,                0.87897,                0.81935,                0.91598,                0.82996,                 1.0117,                0.77221,                 2.3007,              0.0010734,              0.0010734,              0.0010734
                    236,                0.67445,                0.71998,                 1.9573,                0.85754,                0.85161,                0.91942,                0.81131,                 1.1117,                0.88999,                 2.4427,              0.0010694,              0.0010694,              0.0010694
                    237,                0.64858,                0.67767,                 1.9373,                0.89099,                    0.8,                0.91704,                0.81651,                 1.0596,                0.81771,                 2.3345,              0.0010654,              0.0010654,              0.0010654
                    238,                0.66737,                0.69973,                  1.952,                0.85292,                0.86452,                0.91299,                0.81442,                 1.0461,                0.80302,                 2.2955,              0.0010615,              0.0010615,              0.0010615
                    239,                0.63713,                0.65472,                 1.9307,                0.93494,                    0.8,                0.91632,                0.81848,                 1.0494,                 0.7786,                 2.2846,              0.0010575,              0.0010575,              0.0010575
                    240,                0.66526,                0.74483,                 1.9463,                0.88912,                0.76774,                 0.8977,                0.80086,                 1.0418,                0.87305,                  2.293,              0.0010536,              0.0010536,              0.0010536
                    241,                0.62881,                0.63806,                  1.909,                0.86944,                0.81935,                 0.9097,                0.81075,                 1.0028,                0.79399,                 2.3267,              0.0010496,              0.0010496,              0.0010496
                    242,                0.66849,                0.71751,                 1.9344,                0.89865,                 0.8129,                0.90285,                0.80116,                 1.1037,                0.87856,                 2.3523,              0.0010456,              0.0010456,              0.0010456
                    243,                0.65606,                0.64223,                 1.9309,                0.89662,                0.82581,                0.92221,                0.82086,                 1.1193,                0.78909,                 2.3744,              0.0010417,              0.0010417,              0.0010417
                    244,                0.66172,                0.68493,                 1.9282,                0.93241,                0.80107,                0.90003,                0.79434,                 1.0814,                0.89115,                 2.3594,              0.0010377,              0.0010377,              0.0010377
                    245,                0.70445,                0.74159,                 1.9551,                0.89233,                0.83871,                0.90594,                 0.8037,                  1.077,                0.82708,                 2.3859,              0.0010338,              0.0010338,              0.0010338
                    246,                0.63716,                0.69652,                 1.9356,                0.79152,                0.83871,                0.89002,                0.78791,                 1.1297,                0.90123,                 2.3892,              0.0010298,              0.0010298,              0.0010298
                    247,                0.65921,                 0.7322,                 1.9427,                0.94468,                0.75484,                0.89874,                0.79846,                 1.1569,                0.84321,                 2.4676,              0.0010258,              0.0010258,              0.0010258
                    248,                0.64881,                0.65667,                 1.9144,                0.83841,                 0.8129,                0.90757,                0.81271,                0.96188,                0.81169,                 2.2886,              0.0010219,              0.0010219,              0.0010219
                    249,                0.68151,                0.67855,                 1.9401,                 0.8623,                  0.808,                0.90336,                0.78776,                0.97064,                 0.8729,                 2.2634,              0.0010179,              0.0010179,              0.0010179
                    250,                0.63246,                0.65212,                 1.9069,                0.82918,                0.86452,                 0.9073,                0.79816,                 1.1237,                0.89952,                 2.4596,               0.001014,               0.001014,               0.001014
                    251,                0.63919,                0.64998,                 1.9302,                0.92461,                    0.8,                0.91634,                0.81099,                 1.0474,                0.78541,                 2.3735,                0.00101,                0.00101,                0.00101
                    252,                0.66454,                0.72473,                 1.9361,                0.88898,                0.80645,                0.90397,                0.79755,                 1.0752,                0.82984,                 2.3713,               0.001006,               0.001006,               0.001006
                    253,                0.67967,                0.69083,                 1.9339,                0.90577,                0.80621,                0.89766,                0.79898,                 1.0096,                0.87448,                  2.327,              0.0010021,              0.0010021,              0.0010021
                    254,                0.63741,                0.65084,                 1.9038,                0.94001,                0.80882,                 0.8981,                0.81217,                 1.0235,                0.87311,                 2.3553,             0.00099812,             0.00099812,             0.00099812
                    255,                0.62963,                0.69134,                 1.9191,                0.93463,                 0.7871,                0.90395,                0.79616,                 1.0417,                0.85153,                 2.3314,             0.00099416,             0.00099416,             0.00099416
                    256,                0.66817,                0.68998,                 1.9338,                0.86116,                0.88036,                0.92219,                0.82817,                0.94576,                0.70843,                 2.2327,              0.0009902,              0.0009902,              0.0009902
                    257,                0.66635,                0.68517,                 1.9337,                 0.8103,                0.91613,                0.92481,                0.81397,                 1.0526,                0.71993,                 2.3955,             0.00098624,             0.00098624,             0.00098624
                    258,                0.60699,                0.65094,                 1.8905,                0.92408,                0.83871,                0.92297,                0.80881,                 1.0512,                0.80971,                 2.3854,             0.00098228,             0.00098228,             0.00098228
                    259,                0.62341,                 0.6371,                 1.8938,                0.89285,                0.80645,                0.90136,                0.81062,                 1.1066,                0.83919,                   2.43,             0.00097832,             0.00097832,             0.00097832
                    260,                0.64874,                0.68752,                 1.9175,                0.88323,                0.83226,                0.90291,                0.81189,                 1.0019,                  0.814,                 2.3184,             0.00097436,             0.00097436,             0.00097436
                    261,                0.69948,                0.71718,                 1.9351,                0.93922,                0.81935,                0.92776,                0.82529,                  1.098,                0.73707,                 2.4658,              0.0009704,              0.0009704,              0.0009704
                    262,                0.65765,                0.66926,                 1.9251,                0.90468,                0.83871,                0.93098,                0.82046,                 1.0437,                0.74362,                 2.3583,             0.00096644,             0.00096644,             0.00096644
                    263,                0.61773,                0.65833,                 1.9288,                0.91806,                0.79509,                0.90548,                0.81083,                 1.0459,                0.93474,                 2.3149,             0.00096248,             0.00096248,             0.00096248
                    264,                0.64082,                0.67377,                 1.9216,                0.94571,                0.78677,                0.91892,                0.81988,                 1.0165,                0.78777,                 2.3109,             0.00095852,             0.00095852,             0.00095852
                    265,                0.63219,                 0.6736,                  1.898,                0.82757,                0.86701,                0.92013,                0.82548,                 1.0037,                0.74914,                 2.2868,             0.00095456,             0.00095456,             0.00095456
                    266,                0.66945,                0.67485,                 1.9184,                0.83506,                0.87742,                0.91992,                0.81909,                  1.011,                0.78189,                 2.2718,              0.0009506,              0.0009506,              0.0009506
                    267,                0.60885,                0.62516,                 1.8746,                0.91483,                0.83162,                0.91812,                0.81583,                 1.1483,                0.82381,                 2.4668,             0.00094664,             0.00094664,             0.00094664
                    268,                0.64053,                0.63859,                 1.9072,                0.88996,                0.83484,                0.92689,                0.82615,                 1.0055,                0.75578,                 2.2464,             0.00094268,             0.00094268,             0.00094268
                    269,                0.64264,                0.63655,                 1.8976,                0.91424,                 0.8253,                0.92736,                0.81593,                 1.0194,                0.76006,                 2.2916,             0.00093872,             0.00093872,             0.00093872
                    270,                 0.6227,                0.66463,                 1.9063,                0.96708,                0.75814,                0.91434,                0.81483,                 1.0616,                0.77597,                 2.4076,             0.00093476,             0.00093476,             0.00093476
                    271,                0.64357,                0.67238,                 1.9189,                0.93658,                0.83871,                0.93404,                0.82795,                 1.0715,                0.73573,                 2.4204,              0.0009308,              0.0009308,              0.0009308
                    272,                0.65301,                0.66198,                 1.9203,                0.90334,                0.83871,                0.92383,                0.82607,                 1.0338,                0.78167,                 2.3138,             0.00092684,             0.00092684,             0.00092684
                    273,                0.63319,                0.69784,                 1.9163,                0.88176,                0.82581,                0.92637,                0.83094,                0.94411,                 0.7183,                 2.2021,             0.00092288,             0.00092288,             0.00092288
                    274,                   0.66,                0.66026,                 1.9141,                0.88928,                0.82908,                0.91837,                0.82451,                 1.0332,                0.78306,                  2.313,             0.00091892,             0.00091892,             0.00091892
                    275,                0.67346,                  0.709,                  1.931,                0.86694,                0.87097,                0.93599,                0.83195,                 1.0072,                0.71177,                 2.2692,             0.00091496,             0.00091496,             0.00091496
                    276,                 0.6601,                0.64909,                 1.9081,                0.85844,                0.86452,                0.92581,                0.82391,                 1.0509,                0.73526,                 2.3658,               0.000911,               0.000911,               0.000911
                    277,                0.65894,                0.68258,                  1.896,                0.89929,                0.80645,                0.90546,                 0.8066,                 1.0697,                0.83517,                 2.3351,             0.00090704,             0.00090704,             0.00090704
                    278,                0.61258,                0.64986,                 1.8947,                0.87039,                0.83871,                 0.9236,                0.82692,                0.99363,                0.72573,                 2.3764,             0.00090308,             0.00090308,             0.00090308
                    279,                0.61229,                0.64478,                 1.8974,                0.91248,                0.84516,                0.93471,                 0.8438,                 1.0506,                0.69114,                 2.4815,             0.00089912,             0.00089912,             0.00089912
                    280,                0.65097,                0.67317,                 1.9202,                0.86583,                0.83226,                0.91953,                0.81819,                 1.0146,                0.73612,                 2.2686,             0.00089516,             0.00089516,             0.00089516
                    281,                0.59079,                0.61259,                 1.8751,                0.83616,                0.85607,                0.91514,                0.82283,                 1.0017,                0.79508,                 2.2456,              0.0008912,              0.0008912,              0.0008912
                    282,                 0.5998,                 0.6423,                 1.9001,                0.91538,                0.83745,                0.93364,                0.84105,                0.96082,                0.71427,                 2.2654,             0.00088724,             0.00088724,             0.00088724
                    283,                 0.5896,                0.61529,                 1.8804,                0.91638,                0.84847,                0.92875,                0.83231,                0.96548,                0.71506,                 2.2797,             0.00088328,             0.00088328,             0.00088328
                    284,                0.60859,                0.66447,                 1.9007,                0.93035,                0.82581,                0.92093,                0.83317,                 1.0866,                0.74861,                 2.4152,             0.00087932,             0.00087932,             0.00087932
                    285,                 0.6552,                0.66868,                 1.9247,                0.92648,                0.81304,                0.92526,                0.83492,                 1.0144,                0.72858,                 2.2647,             0.00087536,             0.00087536,             0.00087536
                    286,                0.58643,                0.60391,                 1.8926,                0.88334,                0.83049,                0.91927,                0.83191,                0.95498,                0.72955,                  2.208,              0.0008714,              0.0008714,              0.0008714
                    287,                0.60474,                0.59313,                 1.8847,                0.84652,                0.83226,                 0.9073,                0.81551,                 1.0355,                0.78009,                  2.296,             0.00086744,             0.00086744,             0.00086744
                    288,                0.63831,                0.64262,                 1.9095,                0.84821,                0.86527,                0.91341,                0.82256,                 1.1627,                0.84765,                 2.4754,             0.00086348,             0.00086348,             0.00086348
                    289,                0.62015,                0.63109,                 1.8919,                0.86913,                0.83871,                0.92491,                0.83137,                 1.0517,                0.72938,                 2.3953,             0.00085952,             0.00085952,             0.00085952
                    290,                0.65606,                0.63327,                 1.9221,                0.89183,                0.79787,                  0.901,                0.80813,                 1.0153,                 0.8224,                 2.2614,             0.00085556,             0.00085556,             0.00085556
                    291,                0.66795,                0.67032,                 1.9347,                0.83325,                0.88387,                0.93583,                0.84398,                0.91259,                0.66685,                 2.1907,              0.0008516,              0.0008516,              0.0008516
                    292,                0.59502,                0.61275,                 1.8859,                 0.9066,                0.85161,                0.93318,                0.82705,                 1.0206,                0.72527,                 2.3125,             0.00084764,             0.00084764,             0.00084764
                    293,                0.59083,                0.62542,                 1.8757,                0.90138,                0.85806,                0.92538,                0.81395,                  1.073,                0.74475,                 2.4059,             0.00084368,             0.00084368,             0.00084368
                    294,                0.60424,                0.62484,                 1.8821,                 0.8156,                0.88462,                0.90399,                0.79932,                 1.0681,                0.78452,                 2.4099,             0.00083972,             0.00083972,             0.00083972
                    295,                0.67063,                0.67875,                 1.9248,                0.86835,                0.85109,                0.91242,                0.81416,                 1.1401,                0.78306,                 2.4654,             0.00083576,             0.00083576,             0.00083576
                    296,                0.59596,                0.61579,                 1.8905,                0.92579,                0.80645,                0.91634,                0.81929,                 1.0339,                0.74258,                 2.3237,              0.0008318,              0.0008318,              0.0008318
                    297,                0.61037,                0.61839,                 1.8914,                0.87723,                0.85161,                 0.9062,                 0.8181,                0.96059,                0.78108,                 2.2591,             0.00082784,             0.00082784,             0.00082784
                    298,                0.59662,                0.65355,                 1.8987,                0.87694,                0.82752,                0.90505,                0.80352,                 1.0328,                0.78309,                 2.3597,             0.00082388,             0.00082388,             0.00082388
                    299,                0.60803,                0.62766,                 1.9035,                0.85131,                0.84957,                0.91269,                0.81479,                 1.0426,                 0.7529,                 2.3697,             0.00081992,             0.00081992,             0.00081992
                    300,                0.59686,                0.58338,                  1.872,                 0.8567,                0.87097,                0.91438,                0.82269,                0.98477,                0.73218,                  2.261,             0.00081596,             0.00081596,             0.00081596
                    301,                 0.5986,                0.60857,                 1.8823,                0.82335,                0.87742,                 0.9047,                0.80815,                  1.006,                0.78756,                 2.2996,               0.000812,               0.000812,               0.000812
                    302,                0.64523,                0.67389,                 1.9109,                0.86403,                0.86097,                0.91812,                0.81849,                0.95319,                0.73199,                 2.2681,             0.00080804,             0.00080804,             0.00080804
                    303,                0.55391,                0.62139,                 1.8519,                 0.8793,                  0.799,                0.89523,                0.79565,                 1.0902,                0.87934,                 2.4352,             0.00080408,             0.00080408,             0.00080408
                    304,                0.57683,                0.63672,                 1.8652,                 0.8625,                0.85161,                0.91912,                0.80594,                 1.0159,                0.77745,                 2.3598,             0.00080012,             0.00080012,             0.00080012
                    305,                 0.5982,                 0.6204,                  1.889,                0.87496,                0.85777,                0.90119,                0.80963,                0.97377,                0.75333,                 2.2797,             0.00079616,             0.00079616,             0.00079616
                    306,                0.59239,                0.61545,                 1.8732,                0.90028,                0.80645,                0.90699,                 0.8011,                 1.0277,                 0.8035,                 2.2891,              0.0007922,              0.0007922,              0.0007922
                    307,                0.61256,                0.64353,                 1.9046,                0.86519,                0.85161,                 0.9118,                0.80013,                0.96335,                0.76188,                 2.2576,             0.00078824,             0.00078824,             0.00078824
