                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4151,                  1.572,                 2.6698,                0.88538,                0.54818,                0.71753,                0.58625,                 1.8548,                 2.4572,                 3.1014,              0.0018654,              0.0018654,              0.0018654
                     36,                 1.3364,                 1.4377,                 2.5721,                0.84165,                0.51439,                0.64659,                 0.5556,                 2.0709,                 3.1504,                 3.4774,              0.0018614,              0.0018614,              0.0018614
                     37,                  1.445,                 1.5667,                 2.6625,                0.85606,                0.54839,                0.71525,                0.57612,                 1.7449,                 2.5306,                 3.0588,              0.0018574,              0.0018574,              0.0018574
                     38,                 1.3208,                 1.4642,                 2.5796,                0.74924,                0.61686,                 0.7258,                0.59172,                   1.72,                 2.3878,                 3.0994,              0.0018535,              0.0018535,              0.0018535
                     39,                 1.3558,                 1.5166,                 2.5938,                0.83189,                0.54275,                0.72137,                0.57258,                 2.0348,                 2.4832,                 3.1924,              0.0018495,              0.0018495,              0.0018495
                     40,                 1.3872,                 1.5415,                 2.6242,                0.90385,                0.62581,                0.78165,                0.64592,                 1.5838,                 2.0254,                  2.895,              0.0018456,              0.0018456,              0.0018456
                     41,                 1.3272,                 1.5185,                 2.5741,                0.85795,                0.62347,                0.77076,                0.62938,                  1.692,                 2.6273,                 2.9979,              0.0018416,              0.0018416,              0.0018416
                     42,                 1.2901,                 1.4577,                 2.5461,                0.82537,                0.67742,                0.76467,                0.64281,                 1.9282,                 2.1574,                 3.2201,              0.0018376,              0.0018376,              0.0018376
                     43,                 1.2724,                 1.4207,                 2.4827,                0.80982,                0.61935,                0.76626,                0.63771,                 1.5979,                 2.2885,                 2.8659,              0.0018337,              0.0018337,              0.0018337
                     44,                 1.2715,                 1.3585,                 2.5171,                0.81465,                0.60645,                0.75139,                0.59039,                 1.6787,                  2.037,                 2.9196,              0.0018297,              0.0018297,              0.0018297
                     45,                 1.3066,                 1.4526,                 2.5521,                0.86961,                    0.6,                 0.7432,                0.61958,                 1.8112,                 2.1805,                 3.0657,              0.0018258,              0.0018258,              0.0018258
                     46,                 1.2437,                 1.3438,                 2.4922,                0.82028,                0.61837,                0.74622,                0.60649,                 1.8777,                 2.1704,                 3.3617,              0.0018218,              0.0018218,              0.0018218
                     47,                 1.2693,                 1.3608,                 2.4568,                0.78316,                0.63871,                0.74556,                0.60415,                 2.0414,                 2.0465,                 3.1895,              0.0018178,              0.0018178,              0.0018178
                     48,                 1.2288,                 1.4267,                 2.4722,                0.65607,                 0.7261,                0.76713,                0.62302,                 1.8012,                 1.8957,                 2.9634,              0.0018139,              0.0018139,              0.0018139
                     49,                  1.265,                  1.411,                 2.4895,                 0.7013,                0.71613,                0.77452,                0.63876,                 1.7061,                 1.6767,                 2.8605,              0.0018099,              0.0018099,              0.0018099
                     50,                 1.2726,                 1.3521,                  2.497,                0.82918,                0.63871,                0.77525,                  0.649,                 1.6211,                 2.0062,                 2.9174,               0.001806,               0.001806,               0.001806
                     51,                  1.222,                 1.4003,                 2.4538,                0.78103,                0.69032,                0.76482,                0.63346,                 1.7637,                 1.7962,                 2.9683,               0.001802,               0.001802,               0.001802
                     52,                 1.2131,                 1.3318,                 2.4144,                0.73779,                0.69677,                0.76962,                 0.6299,                 1.6594,                  1.735,                  2.821,               0.001798,               0.001798,               0.001798
                     53,                 1.2466,                 1.3791,                 2.4163,                0.83899,                0.65161,                0.79573,                0.67003,                 1.7496,                 1.6437,                 2.8619,              0.0017941,              0.0017941,              0.0017941
                     54,                  1.223,                 1.3019,                 2.4348,                0.81551,                0.61935,                0.76914,                0.62657,                 1.6206,                 1.8703,                 2.8555,              0.0017901,              0.0017901,              0.0017901
                     55,                 1.2272,                 1.3259,                 2.4335,                0.90275,                0.53902,                0.71298,                0.57392,                 1.7117,                 2.1165,                 2.9562,              0.0017862,              0.0017862,              0.0017862
                     56,                 1.1607,                 1.2715,                 2.3535,                0.85874,                0.58833,                0.73208,                0.60134,                 1.6675,                 2.1648,                 2.8914,              0.0017822,              0.0017822,              0.0017822
                     57,                  1.155,                 1.2991,                 2.3907,                0.83825,                0.68387,                0.79928,                0.65668,                 1.7088,                 1.4421,                 2.8623,              0.0017782,              0.0017782,              0.0017782
                     58,                 1.1448,                 1.2373,                 2.3601,                0.74943,                0.67538,                0.77119,                0.65569,                 1.6761,                 1.6242,                 2.8402,              0.0017743,              0.0017743,              0.0017743
                     59,                 1.1038,                   1.17,                 2.3539,                 0.7797,                0.75353,                0.83437,                 0.6942,                 1.4682,                 1.4674,                 2.6697,              0.0017703,              0.0017703,              0.0017703
                     60,                 1.0668,                 1.2034,                 2.3249,                0.84167,                0.72021,                0.82317,                0.70197,                 1.6547,                 1.6354,                  2.856,              0.0017664,              0.0017664,              0.0017664
                     61,                 1.1563,                 1.1993,                 2.3646,                0.89065,                0.70323,                0.84506,                0.70752,                 1.7173,                 1.3742,                  2.931,              0.0017624,              0.0017624,              0.0017624
                     62,                 1.1454,                 1.2576,                 2.3623,                0.78551,                0.70884,                  0.794,                0.67855,                 1.6379,                 1.7687,                 2.7916,              0.0017584,              0.0017584,              0.0017584
                     63,                 1.1488,                 1.2699,                 2.3966,                0.82916,                0.68888,                0.79141,                0.66959,                 1.6354,                 1.6381,                 2.8242,              0.0017545,              0.0017545,              0.0017545
                     64,                 1.1066,                 1.2123,                 2.3372,                0.76969,                0.71152,                0.79912,                0.68883,                 1.6031,                 1.5592,                 2.7372,              0.0017505,              0.0017505,              0.0017505
                     65,                 1.1512,                 1.2244,                 2.3426,                 0.7759,                0.69246,                 0.7963,                0.68163,                 1.5946,                 1.7936,                 2.8365,              0.0017466,              0.0017466,              0.0017466
                     66,                 1.1244,                 1.1812,                 2.3366,                0.77609,                0.76033,                0.83768,                0.70854,                 1.5073,                 1.2485,                 2.7238,              0.0017426,              0.0017426,              0.0017426
                     67,                 1.1287,                 1.1832,                 2.3355,                0.82678,                0.68387,                0.81242,                0.67606,                 1.7381,                 1.5748,                 2.8178,              0.0017386,              0.0017386,              0.0017386
                     68,                 1.1004,                 1.1393,                 2.3011,                0.88946,                0.67491,                0.84165,                0.69962,                 1.5152,                 1.4903,                 2.7414,              0.0017347,              0.0017347,              0.0017347
                     69,                 1.1458,                 1.2235,                 2.3167,                0.89478,                0.66452,                0.81315,                0.66924,                 1.6857,                 1.5877,                  2.872,              0.0017307,              0.0017307,              0.0017307
                     70,                 1.0331,                 1.1404,                 2.2794,                 0.8727,                0.66344,                0.81547,                 0.6904,                 1.4153,                 1.4198,                 2.6292,              0.0017268,              0.0017268,              0.0017268
                     71,                 1.0619,                 1.1597,                 2.2906,                0.78894,                0.72348,                0.81013,                0.67154,                 1.6635,                 1.4961,                 2.8075,              0.0017228,              0.0017228,              0.0017228
                     72,                 1.1027,                 1.2021,                 2.3264,                0.77695,                0.76407,                0.83697,                0.68972,                 1.5964,                 1.4106,                 2.7894,              0.0017188,              0.0017188,              0.0017188
                     73,                 1.0464,                 1.1773,                 2.2879,                0.88266,                0.65161,                0.78573,                0.67752,                 1.5439,                 1.5319,                 2.7232,              0.0017149,              0.0017149,              0.0017149
                     74,                 1.0683,                 1.1321,                 2.3112,                0.85425,                0.71845,                0.83174,                0.71278,                 1.4669,                 1.2613,                 2.6855,              0.0017109,              0.0017109,              0.0017109
                     75,                 1.0745,                 1.0952,                  2.264,                0.79541,                 0.7274,                0.81826,                 0.7061,                 1.5419,                 1.5861,                 2.7606,               0.001707,               0.001707,               0.001707
                     76,                 1.1007,                 1.1465,                 2.3153,                0.94308,                0.67742,                0.85749,                0.72223,                 1.5089,                 1.1924,                 2.7226,               0.001703,               0.001703,               0.001703
                     77,                 1.0859,                 1.1936,                 2.2915,                0.88705,                0.70933,                0.84831,                0.71286,                 1.4804,                 1.6281,                 2.6336,               0.001699,               0.001699,               0.001699
                     78,                0.97609,                  1.062,                 2.2032,                0.84839,                0.70968,                0.80136,                0.66373,                 1.5358,                  1.436,                 2.7201,              0.0016951,              0.0016951,              0.0016951
                     79,                  1.022,                 1.1059,                 2.2126,                0.78763,                0.73548,                0.81489,                0.66665,                 1.6361,                 1.3916,                 2.8364,              0.0016911,              0.0016911,              0.0016911
                     80,                 1.0471,                 1.0881,                 2.2689,                0.84956,                0.67742,                0.82409,                0.70478,                 1.5103,                 1.5653,                 2.7003,              0.0016872,              0.0016872,              0.0016872
                     81,                 1.0605,                 1.1296,                 2.2849,                 0.8894,                0.67742,                0.80516,                0.68909,                 1.4962,                 1.4714,                 2.6938,              0.0016832,              0.0016832,              0.0016832
                     82,                 1.0838,                 1.1494,                 2.3204,                0.82575,                0.73379,                 0.8433,                0.71296,                 1.2899,                 1.1934,                 2.5263,              0.0016792,              0.0016792,              0.0016792
                     83,                 1.0399,                 1.0866,                 2.2438,                0.83142,                0.67742,                0.80155,                0.69146,                  1.534,                 1.3909,                 2.7579,              0.0016753,              0.0016753,              0.0016753
                     84,                0.99496,                  1.041,                 2.2111,                0.84735,                0.66452,                0.81283,                0.68677,                 1.6501,                 1.4268,                 2.8371,              0.0016713,              0.0016713,              0.0016713
                     85,                 1.0587,                 1.1447,                 2.2355,                0.90592,                0.66452,                0.79939,                0.67882,                 1.3691,                 1.3273,                 2.5624,              0.0016674,              0.0016674,              0.0016674
                     86,                 1.0302,                 1.0808,                 2.2645,                0.84022,                0.74839,                0.85847,                0.71861,                 1.3591,                 1.3681,                 2.5199,              0.0016634,              0.0016634,              0.0016634
